fid,Tract,AnnualElectricity_cost,AnnualElectricity_mmbtu,AnnualEnergyUse_cost,AnnualEnergyUse_mmbtu,AnnualSpaceHeating_cost,AnnualSpaceHeating_mmbtu,TractLong,Description,TotalHousingUnits,OccupiedUnits,MedianHouseholdIncome,EnergyBurden
1,9801,1318190.068,17890.74468,3318170.258,72968.48603,1999980.19,55077.74135,980100,Eielson AFB,889,792,63036,0.066463749
2,15.01,5307554.741,72035.21635,13360266.25,293799.9939,8052711.513,221764.7775,001501,Badger East/Moose Creek Dam,1889,1654,109191,0.073976327
3,19.02,7802875.157,105902.2144,19641528.87,431928.5971,11838653.71,326026.3827,001902,Chena River Valley,2743,2188,89980,0.099765867
4,14.02,4714175.838,63981.75676,11866602.88,260953.4711,7152427.041,196971.7143,001402,Badger West/Bradway,1999,1749,75586,0.089762561
5,15.02,7998140.39,108552.394,20133053.8,442737.5152,12134913.41,334185.1212,001502,Badger East/Plack,2055,1843,96625,0.113056311
6,19.01,7365287.979,99963.19189,18540027.04,407705.934,11174739.07,307742.7422,001901,Goldstream/Murphy Dome,3210,2597,73750,0.09680023
7,14.01,3751442.134,50915.33841,9443193.372,207661.2922,5691751.238,156745.9538,001401,Badger West/Persinger,1159,1035,86851,0.105051851
8,8,6427816.774,87239.64134,16180208.73,355812.1623,9752391.953,268572.521,000800,Geist/University West,2148,1940,76557,0.108942537
9,10,1581880.342,21469.60291,3981935.861,87565.07612,2400055.518,66095.47321,001000,FAI/Van Horn,661,582,90938,0.075236031
10,9800,7973246.207,108214.5251,20070389.74,441359.4962,12097143.54,333144.97120000003,980000,Fort Wainwright,2486,2287,70102,0.125187
11,1,1627444.044,22088.00277,4096629.578,90087.2574,2469185.534,67999.25464,000100,Downtown Fairbanks,1132,900,27878,0.163276083
12,3,4545657.26,61694.58821,11442405.07,251625.1156,6896747.813,189930.5274,000300,South Fairbanks,2212,1926,55147,0.107730616
13,4,6121528.035,83082.62805,15409213.55,338857.5318,9287685.515,255774.9037,000400,Hamilton Acres,1981,1820,87115,0.097188783
14,7,5906959.191,80170.45591,14869097.24,326980.0613,8962138.049,246809.6054,000700,Airport Way West,2134,1773,66467,0.126173976
15,17,1483700.262,20137.08282,3734795.308,82130.31221,2251095.046,61993.22939,001700,Salcha,1203,546,74708,0.091560267
16,13,9285165.08,126020.1558,23372774.04,513980.8399,14087608.96,387960.6841,001200,UAF/Farmers Loop,2497,2227,104919,0.100031297
17,5,3004025.791,40771.25123,7561784.355,166288.0181,4557758.564,125516.7669,000500,Johansen/Railroad,1483,1140,71649,0.092578322
18,6,5258862.779,71374.3591,13237698.03,291104.6475,7978835.248,219730.2884,000600,College/Aurora,1742,1560,68580,0.123734381
19,12,10599326.85,143856.2276,26680804.21,586726.3394,16081477.35,442870.1118,001100,Steese Highway,2789,2534,112809,0.093335865
20,2,3532571.566,47944.78239,8892248.689,195545.6995,5359677.123,147600.9171,000200,Airport Way Central,1389,1213,93156,0.0786937
21,16,6802044.403,92318.7351,17122220.82,376527.5539,10320176.42,284208.8188,001600,Greater North Pole,2101,1784,86910,0.110432141
22,9,7517845.358,102033.7318,18924047.05,416150.7564,11406201.69,314117.0246,000900,Chena Ridge,2757,2431,105854,0.073539689
