	Tract	TractLong	Description	TotalHousingUnits	OccupiedUnits	MedianHouseholdIncome
0	1	000100	Downtown Fairbanks	1132	900	27878
1	2	000200	Airport Way Central	1389	1213	93156
2	3	000300	South Fairbanks	2212	1926	55147
3	4	000400	Hamilton Acres	1981	1820	87115
4	5	000500	Johansen/Railroad	1483	1140	71649
5	6	000600	College/Aurora	1742	1560	68580
6	7	000700	Airport Way West	2134	1773	66467
7	8	000800	Geist/University West	2148	1940	76557
8	9	000900	Chena Ridge	2757	2431	105854
9	10	001000	FAI/Van Horn	661	582	90938
10	12	001100	Steese Highway	2789	2534	112809
11	13	001200	UAF/Farmers Loop	2497	2227	104919
12	14.01	001401	Badger West/Persinger	1159	1035	86851
13	14.02	001402	Badger West/Bradway	1999	1749	75586
14	15.01	001501	Badger East/Moose Creek Dam	1889	1654	109191
15	15.02	001502	Badger East/Plack	2055	1843	96625
16	16	001600	Greater North Pole	2101	1784	86910
17	17	001700	Salcha	1203	546	74708
18	19.01	001901	Goldstream/Murphy Dome	3210	2597	73750
19	19.02	001902	Chena River Valley	2743	2188	89980
20	9800	980000	Fort Wainwright	2486	2287	70102
21	9801	980100	Eielson AFB	889	792	63036
